batch test: 96 CPU on 3 seconds for one
999:1
use pthread_spinlock
13, 74
26, 74
40, 74
53, 74
66, 74
80, 74
93, 74
107, 74
120, 74
133, 74
145, 75
155, 77
166, 78
169, 82
160, 93
161, 99
155, 108
162, 110
157, 120
156, 127
156, 134
153, 143
157, 145
156, 153
167, 148
166, 154
169, 158
164, 169
155, 184
154, 192
155, 197
154, 206
152, 214
153, 218
153, 224
153, 230
154, 238
152, 245
155, 246
154, 255
152, 267
152, 272
153, 279
153, 284
154, 288
152, 298
153, 304
153, 301
438, 111
294, 169
215, 236
202, 256
212, 248
228, 236
196, 278
233, 239
195, 290
234, 246
165, 354
163, 364
163, 372
155, 393
153, 404
135, 469
131, 485
128, 501
144, 433
143, 441
141, 457
140, 487
131, 504
131, 529
129, 535
127, 564
119, 618
118, 639
109, 701
145, 536
110, 712
157, 505
193, 417
209, 389
194, 424
192, 433
200, 422
187, 456
176, 489
179, 488
179, 494
162, 552
163, 554
154, 593
147, 628
153, 609
139, 679
142, 669
use mcs lock
123, 7
163, 12
162, 18
163, 24
183, 27
152, 39
179, 38
169, 47
153, 58
172, 57
156, 70
150, 79
146, 88
156, 89
168, 88
171, 93
148, 114
150, 119
148, 127
135, 147
115, 181
105, 207
107, 213
116, 206
121, 206
117, 220
117, 229
125, 222
130, 222
129, 232
128, 241
129, 247
129, 255
128, 264
128, 272
126, 283
127, 289
126, 299
127, 304
127, 314
128, 318
129, 325
127, 336
129, 340
129, 347
129, 355
129, 363
127, 375
123, 397
133, 374
136, 374
135, 382
136, 388
134, 401
132, 414
130, 429
129, 438
129, 448
124, 474
127, 471
126, 481
125, 492
125, 502
124, 511
123, 523
123, 533
123, 543
122, 555
122, 561
121, 573
121, 583
119, 599
121, 601
119, 617
120, 620
120, 628
120, 640
119, 653
119, 658
119, 667
119, 676
119, 684
118, 699
118, 705
118, 715
119, 721
118, 732
118, 739
118, 749
118, 759
118, 768
118, 773
118, 784
118, 791
118, 798
118, 809
99:1
use pthread_spinlock
125, 7
168, 11
179, 16
174, 22
192, 25
230, 25
227, 30
188, 42
209, 42
197, 50
182, 59
190, 62
201, 64
187, 74
171, 87
162, 98
169, 98
159, 110
164, 113
159, 119
161, 123
165, 127
159, 140
146, 147
160, 146
154, 153
162, 148
159, 159
153, 176
